排名,公司简称,公司全称,城市,行业,行业排名,轮次,最近融资,累计融资额,投资方,简介
260,700Kids,柒小佰（深圳）科技有限公司,1,1,22,Pre-A轮,2018,30000000,顺为资本，京东金融千树资本（领投），小米科技，千树资本,700Kids是一家儿童自行车研发商，其主要产品变形儿童车具有骑滑双模式、无工具快速变形、坚固环保、8重安全保护等特点，从两轮变形到三轮不需要额外的工具，可以徒手操作；并且车辆符合儿童生长周期对童车尺寸的不同要求，减少了家庭更换儿童车的成本。
264,ZEGO即构科技,深圳市即构科技有限公司,1,1,23,A轮,2018,24150000,微光跟投的B轮融资，获得启明领投，A轮获得IDG资本350万美元融资，IDG资本,我们是谁？ 即构科技于2015年由QQ前总经理林友尧创立，获得启明领投、微光跟投的B轮融资，聚集了来自腾讯、YY、华为等音视频通讯领域的顶尖人才。即构科技是全球实时语音视频云领先品牌，70%头部客户选择即构，单日分钟数超过6亿。目前公司三款主打产品：Paas产品、Saas产品、视频见证私有化系统，应用于在线医疗、智能硬件、视频会议、金融行业、秀场直播、教育行业、泛娱乐行业、游戏等行业，即构科技拥有自研引擎技术，立志于做天下的音视频，让天下没有难做的音视频！ 加入我们的理由？ 公司大牛云集，过半技术大牛来自腾讯、YY、华为，在音视频研发上有超10年的经验。我们在技术上有自己的追求，为了给客户更好的体验效果，自研了整套音视频引擎和后台服务，如果你跟我们一样肯钻研、不怕吃苦，加入我们，大牛将手把手向你传授经验，把你培养成大牛。 是否有钱途？ 音视频是需要长期积累的技术，目前拥有这方面技术的人才非常稀少，也非常的昂贵。未来，随着音视频技术在各行业铺开，对这方面的人才需求也会越来越多。由于技术的高门槛和稀缺性，以及原腾讯QQ技术团队在江湖上的翘楚地位，你今天在这里学到的，他日在市场上的钱途显而易见 除了本事和钱途，福利也不会少！ 行业是有前景的，公司是赚钱的，粮仓是殷实的，我们有底气拍着胸脯说：money是十分有竞争力的，当然，不只是money！ 我们能给你提供的平台 对于带艺投师的大牛，我们准备了股权激励，一起分享公司快速成长的硕果。 对于有心钻研技术的新秀，我们准备了系统业务知识培训+实战磨练+一对一导师，和技术大牛一起共事，快速学习和成长。 当然，除了技术人才，我们其他岗位也有优厚的待遇，等待有实力的你。 我们的薪酬：固定薪酬+年度奖金+股权回报 我们的办公装备：苹果Mac Pro笔记本，配备28寸大屏显示器 我们的福利（说到做到，绝不忽悠） 常规福利：周末双休、年度健康体检、五险一金、商业保险 吃货福利：办公室日常备足零食，随意取用，每日雷打不动的下午茶，生日狂欢party 任性假期：5-15天带薪年假，7天带薪病假，周末加班调休假 运动福利：公司出钱，你运动。每周一次羽毛球、游泳、篮球俱乐部运动，各种兴趣活动自由创办 旅游福利：每年一次旅游，国外、国内游你说了算 即构是技术驱动的公司，我们用自己的专业的技术和服务，给用户提供实实在在的价值，赢得他们的尊重和信赖。希望意气相投的你，加入我们~
271,傲科光电子,深圳市傲科光电子有限公司,1,1,24,A轮,2019,72000000,东方富海（领投），中南弘远，国信弘盛，南山创投，深创投，东方富海,傲科光电子是一家半导体芯片研发商，基于LID光识别技术、光标签技术、光通信技术、光感传感器技术，为用户提供一系列光电芯片产品和整体解决方案。
310,瑞波光电,深圳瑞波光电子有限公司,1,1,25,A轮,2018,65000000,深创投，北京协同创新京福基金管理有限公司，协同创新京福基金，力合科创集团，赛富投资基金，力合创投,瑞波光电是一家半导体激光器研发商，为用户提供半导体激光芯片、封装模块及测试表征设备、及研发咨询服务，旗下拥有Bar条综合性能测试机、Full-bar 综合性能测试机及C-Mount、COS等封装产品。
312,中国电器院,中国电器科学研究院股份有限公司,2,1,26,战略投资,2017,258880000,正泰电器，盾安控股，中国建设银行，建信（北京）投资基金管理，广州立伟资产,中国电器院是一家电器创新与应用研究机构，拥有科研开发、科技服务、科技产业三大核心业务板块，其中科研开发业务板块拥有国家级科技研发平台，涵盖能源科学、材料科学、工程科学等领域；科技服务业务板块（CVC威凯）能够为企业提供包括研发、标准制修订、检测、体系认证、产品认证、设备计量校准等质量控制领域的整体解决方案；科技产业业务板块（kinte擎天）为用户提供家用电器及其相关器件的生产、检测成套装备和技术服务。
313,捷视飞通,深圳市捷视飞通科技股份有限公司,1,1,27,C轮,2017,29000000,北极光，华宇,捷视飞通科技有限公司（iFreecomm）是领先的多媒体通信融合解决方案提供商，公司总部和研发中心位于深圳高新园，营销网络遍及全国。捷视飞通成立于2008年，是领先的多媒体通信融合以及专业移动视频解决方案提供商。持续专注于多媒体通信领域的产品开发和技术研究，在高清晰图像语音交互传输、视音频前后处理、P2P、图像语音编解码、高速DSP应用、嵌入式操作系统、复杂环境下的网络传输等技术上不断突破和积累，在视频领域拥有领先技术。捷视飞通重点产品包括：高清视频会议、宽带无线通信、多媒体指挥调度、便携式智能终端等。在掌握核心技术基础上，针对各行业用户需求，形成业内领先的视频产品系列和解决方案。 捷视飞通拥有专业的技术和营销团队，其中核心团队成员均拥有十年以上的多媒体通信行业从业经验， 是国家认定的高新技术和软件企业。高清多媒体通信系统、三网融合多级智能预警指挥调度系统、新一代交互式多媒体智能移动终端应急指挥系统等多个项目，获得政府专项基金支持。
324,安思疆,深圳市安思疆科技有限公司,1,1,28,天使轮,2018,20000000,力合科创集团，力合科创,安思疆科技是一家3D摄像头研发商，依托光学模组和深度算法等技术手段，面向安防监控、金融安全、AR/VR、智慧零售等领域的用户，提供中短距离超高精度、中远距离高精度的3D传感解决方案，其核心产品为3D摄像头。
339,Robobloq,深圳市魔块智能有限公司,1,1,29,A轮,2018,10000000,梅花天使创投，梅花创投，吉大校友基金,魔块智能总部位于深圳，是世界领先的从事3研究和STEM教育产品研发，生产和销售的高科技机器人企业，致力于为世界各地STEM教育机构和从业者提供从教学教具，教学内容，比赛，国际交流在内的端到端教育方案。旗下有’’魔洛克’’’’Qmind’’等多个品牌和产品系列。 作为一个一站式STEM教育解决方案开发商和集成商，魔块平台提供超过500种结实稳固的模块化铝合金机械部件，超过40种统一标准的各类智能电子模块和传感器，以及基于图形化编程软件scratch 3.0深度开发的编程应用，让用户可以随意搭建自己的各类想法，制作炫酷的智能设备，比如DIY机械臂。 学生和用户在边玩边学的过程中就提高了自己的动手能力，创造力，编程逻辑思维等。 魔块让3走进千家万户，魔块让创造触手可及！
354,鹰驾科技,鹰驾科技（深圳）有限公司,1,1,30,A轮,2018,30000000,朗科投资，深圳中科双创服务中心，朗玛峰创投,鹰驾科技是一家高级驾驶辅助系统研发商，公司研发的新一代鹰眼系统，采用华为海思3520芯片，可以无缝拼接鸟瞰效果，利用精确算法，精确描绘倒车轨迹线。此外，该系统还具有全景展示功能。
355,劲芯微电子,深圳劲芯微电子有限公司,1,1,31,B轮,2018,6000000,中科创星，创东方，海纳融智,深圳劲芯微电子有限公司成立于2013年3月29日，由国内外资深集成电路设计人员组成，专注于移动终端和移动医疗市场提供高端芯片和解决方案，公司技术积累雄厚，国内率先推出符合Qi标准的无限充电芯片。
